ticket_id,customer_region,account_type
TKT00000,India,Premium
TKT00001,US,Free
TKT00002,India,Free
TKT00003,Canada,Free
TKT00004,UK,Free
TKT00005,US,Free
TKT00006,UK,Free
TKT00007,Canada,Premium
TKT00008,India,Enterprise
TKT00009,Canada,Free
TKT00010,India,Premium
TKT00011,India,Free
TKT00012,Canada,Premium
TKT00013,US,Premium
TKT00014,US,Premium
TKT00015,US,Free
TKT00016,Canada,Free
TKT00017,UK,Free
TKT00018,Canada,Enterprise
TKT00019,UK,Premium
TKT00020,UK,Premium
TKT00021,US,Free
TKT00022,India,Premium
TKT00023,US,Free
TKT00024,Canada,Premium
TKT00025,Canada,Free
TKT00026,India,Premium
TKT00027,US,Free
TKT00028,US,Enterprise
TKT00029,India,Premium
TKT00030,Canada,Premium
TKT00031,India,Free
TKT00032,US,Enterprise
TKT00033,Canada,Free
TKT00034,Canada,Free
TKT00035,India,Enterprise
TKT00036,Canada,Premium
TKT00037,Canada,Free
TKT00038,Canada,Free
TKT00039,Canada,Premium
TKT00040,UK,Free
TKT00041,UK,Free
TKT00042,Canada,Free
TKT00043,US,Enterprise
TKT00044,Canada,Enterprise
TKT00045,Canada,Enterprise
TKT00046,UK,Enterprise
TKT00047,UK,Free
TKT00048,UK,Premium
TKT00049,US,Free
TKT00050,US,Free
TKT00051,India,Free
TKT00052,India,Premium
TKT00053,India,Enterprise
TKT00054,Canada,Free
TKT00055,US,Free
TKT00056,UK,Enterprise
TKT00057,Canada,Free
TKT00058,Canada,Free
TKT00059,India,Enterprise
TKT00060,India,Free
TKT00061,US,Free
TKT00062,India,Enterprise
TKT00063,Canada,Free
TKT00064,UK,Premium
TKT00065,US,Free
TKT00066,UK,Free
TKT00067,UK,Premium
TKT00068,UK,Free
TKT00069,US,Premium
TKT00070,UK,Premium
TKT00071,Canada,Premium
TKT00072,Canada,Free
TKT00073,US,Free
TKT00074,India,Enterprise
TKT00075,India,Enterprise
TKT00076,UK,Premium
TKT00077,Canada,Free
TKT00078,US,Premium
TKT00079,UK,Enterprise
TKT00080,UK,Free
TKT00081,India,Free
TKT00082,India,Enterprise
TKT00083,Canada,Free
TKT00084,India,Free
TKT00085,Canada,Enterprise
TKT00086,Canada,Free
TKT00087,US,Free
TKT00088,US,Premium
TKT00089,India,Free
TKT00090,US,Free
TKT00091,UK,Enterprise
TKT00092,India,Enterprise
TKT00093,US,Free
TKT00094,UK,Free
TKT00095,UK,Free
TKT00096,Canada,Premium
TKT00097,Canada,Enterprise
TKT00098,India,Premium
TKT00099,Canada,Free
TKT00100,UK,Free
TKT00101,India,Free
TKT00102,US,Enterprise
TKT00103,India,Premium
TKT00104,UK,Premium
TKT00105,UK,Free
TKT00106,Canada,Free
TKT00107,UK,Free
TKT00108,US,Premium
TKT00109,Canada,Premium
TKT00110,US,Premium
TKT00111,US,Free
TKT00112,US,Free
TKT00113,India,Free
TKT00114,Canada,Enterprise
TKT00115,US,Free
TKT00116,India,Free
TKT00117,US,Premium
TKT00118,Canada,Free
TKT00119,India,Free
TKT00120,India,Free
TKT00121,UK,Free
TKT00122,UK,Enterprise
TKT00123,UK,Premium
TKT00124,India,Free
TKT00125,UK,Enterprise
TKT00126,UK,Free
TKT00127,India,Free
TKT00128,Canada,Enterprise
TKT00129,UK,Free
TKT00130,US,Free
TKT00131,Canada,Enterprise
TKT00132,India,Premium
TKT00133,India,Premium
TKT00134,US,Premium
TKT00135,UK,Premium
TKT00136,UK,Free
TKT00137,US,Premium
TKT00138,UK,Premium
TKT00139,US,Free
TKT00140,India,Enterprise
TKT00141,UK,Enterprise
TKT00142,UK,Free
TKT00143,Canada,Premium
