ticket_id,ticket_text,tenure,department,priority
TKT00000,request system service team problem plan upgrade access,59,Sales,Medium
TKT00001,problem system service feature review plan,16,Feedback,Medium
TKT00002,customer help service login access server,53,Account,Medium
TKT00003,service system request customer support feature suggestion authentication,13,Feedback,Low
TKT00004,service platform support problem help bug server refund,55,Tech,Medium
TKT00005,help request team platform profile password payment,57,Account,Medium
TKT00006,support service issue login password quotation,2,Account,Medium
TKT00007,help customer team platform bug api quotation,48,Tech,Medium
TKT00008,platform system issue suggestion experience error,7,Feedback,Medium
TKT00009,support help team service request invoice payment improvement,33,Billing,Medium
TKT00010,help problem service customer quotation plan refund,6,Sales,Medium
TKT00011,platform customer help issue plan demo feature,2,Sales,Medium
TKT00012,service platform issue support help crash server profile,4,Tech,High
TKT00013,issue service problem support team charge invoice server,18,Billing,Medium
TKT00014,service request issue platform experience review invoice,38,Feedback,Medium
TKT00015,customer platform system support problem quotation pricing crash,49,Sales,High
TKT00016,request platform system api crash authentication,20,Tech,High
TKT00017,issue team support problem suggestion feature authentication,57,Feedback,Medium
TKT00018,issue service system request suggestion improvement upgrade,25,Feedback,Medium
TKT00019,help service request problem charge subscription review,16,Billing,Medium
TKT00020,problem customer system platform access password crash,48,Account,High
TKT00021,customer help service demo pricing authentication,53,Sales,Medium
TKT00022,team issue service api bug demo,10,Tech,Medium
TKT00023,service support request team platform profile password api,39,Account,Medium
TKT00024,help system platform customer api bug upgrade,9,Tech,Low
TKT00025,service help issue customer support improvement suggestion invoice,53,Feedback,Medium
TKT00026,problem customer service system improvement experience server,22,Feedback,Medium
TKT00027,customer service platform refund subscription server,43,Billing,Medium
TKT00028,help request customer experience improvement refund,17,Feedback,Low
TKT00029,problem help support system customer crash api payment,40,Sales,High
TKT00030,system service support problem team suggestion improvement access,23,Feedback,Medium
TKT00031,request system problem platform bug crash pricing,2,Tech,High
TKT00032,system team support help quotation demo review,33,Sales,Medium
TKT00033,issue problem support platform team invoice payment error,31,Billing,Medium
TKT00034,customer request team issue access profile refund,35,Account,Medium
TKT00035,request team support issue service plan demo suggestion,23,Sales,Medium
TKT00036,support issue platform service help upgrade demo improvement,52,Sales,Medium
TKT00037,support request team problem password authentication payment,12,Account,Medium
TKT00038,system issue team support review experience error,48,Feedback,Medium
TKT00039,platform team problem support demo upgrade login,32,Sales,Medium
TKT00040,help problem team service suggestion experience crash,10,Feedback,High
TKT00041,help issue team subscription payment demo,58,Billing,Medium
TKT00042,support platform help request invoice refund experience,53,Billing,Medium
TKT00043,request system customer problem platform error api access,35,Tech,Medium
TKT00044,system help team quotation upgrade access,16,Sales,Low
TKT00045,service system team support suggestion review login,16,Feedback,Low
TKT00046,service issue platform refund charge experience,4,Billing,Medium
TKT00047,customer issue problem help team demo pricing review,55,Sales,Medium
TKT00048,request problem system platform service charge refund password,44,Billing,Medium
TKT00049,help system customer pricing quotation login,34,Sales,Medium
TKT00050,platform customer problem access authentication upgrade,40,Account,Medium
TKT00051,problem request customer issue help crash server pricing,53,Tech,High
TKT00052,customer platform service payment refund quotation,34,Billing,Medium
TKT00053,team customer help problem request review experience authentication,55,Feedback,Medium
TKT00054,system customer problem issue platform improvement feature server,60,Feedback,Medium
TKT00055,service customer request issue team upgrade quotation api,19,Sales,Medium
TKT00056,service help system request access profile pricing,34,Account,Medium
TKT00057,problem service request issue system upgrade plan suggestion,55,Sales,Medium
TKT00058,request customer system help support crash api password,3,Tech,High
TKT00059,support help system api crash password,21,Tech,High
TKT00060,issue customer system help error server pricing,13,Tech,Medium
TKT00061,service issue support platform demo upgrade charge,22,Sales,Medium
TKT00062,system team problem request customer bug server invoice,28,Tech,Medium
TKT00063,system support request problem service bug crash invoice,49,Tech,High
TKT00064,problem support team plan upgrade experience,21,Sales,Medium
TKT00065,platform service request system crash api improvement,31,Tech,High
TKT00066,service help platform customer system demo pricing login,30,Sales,Medium
TKT00067,service problem customer support pricing plan payment,23,Sales,Medium
TKT00068,team platform system quotation upgrade review,21,Sales,Low
TKT00069,platform issue request server api review,52,Tech,Medium
TKT00070,team issue customer service problem api error suggestion,29,Sales,Medium
TKT00071,help team platform issue request feature review charge,55,Feedback,Medium
TKT00072,request team issue access profile payment,11,Account,Medium
TKT00073,platform request support help experience review profile,50,Billing,Medium
TKT00074,problem team platform system request authentication password bug,14,Account,Medium
TKT00075,system customer platform issue bug crash pricing,9,Tech,High
TKT00076,platform support request error bug experience,31,Tech,Medium
TKT00077,service request platform help problem feature suggestion profile,47,Feedback,Medium
TKT00078,help system service crash bug feature,20,Tech,High
TKT00079,request service problem team system payment refund bug,52,Billing,Medium
TKT00080,service help problem customer request payment invoice bug,44,Billing,Medium
TKT00081,team support platform issue help profile authentication refund,2,Account,Medium
TKT00082,support help platform team service pricing quotation crash,9,Sales,High
TKT00083,platform system team help problem profile authentication pricing,38,Account,Medium
TKT00084,issue service request profile access server,40,Account,Medium
TKT00085,support team service system crash error payment,33,Tech,High
TKT00086,support help request service payment charge experience,50,Billing,Medium
TKT00087,problem team issue support platform crash bug quotation,41,Tech,High
TKT00088,team customer platform support experience feature invoice,48,Feedback,Medium
TKT00089,service support help issue login access review,5,Account,Medium
TKT00090,service problem help feature suggestion login,8,Feedback,Medium
TKT00091,help problem platform system suggestion feature server,29,Feedback,Medium
TKT00092,request help service quotation plan error,4,Sales,Medium
TKT00093,issue request support team customer login access demo,33,Account,Medium
TKT00094,support problem platform service pricing quotation experience,4,Sales,Medium
TKT00095,request issue service pricing plan improvement,40,Sales,Medium
TKT00096,issue platform help refund charge server,56,Tech,Medium
TKT00097,team support issue request customer upgrade plan invoice,49,Sales,Medium
TKT00098,support service request team platform charge subscription bug,18,Billing,Low
TKT00099,issue team help support server bug demo,26,Tech,Medium
TKT00100,support problem customer improvement suggestion invoice,41,Account,Medium
TKT00101,problem request platform help service refund invoice suggestion,52,Billing,Medium
TKT00102,help system service request problem subscription invoice pricing,33,Billing,Medium
TKT00103,help team system problem service api bug refund,57,Tech,Medium
TKT00104,support issue system demo quotation api,24,Sales,Medium
TKT00105,issue platform team charge refund feature,33,Billing,Medium
TKT00106,issue platform customer invoice payment plan,15,Billing,Medium
TKT00107,support platform problem pricing demo login,17,Sales,Medium
TKT00108,customer system service problem quotation plan suggestion,3,Sales,Medium
TKT00109,platform system support help request access login api,2,Account,Low
TKT00110,service issue system support platform password authentication payment,36,Account,Medium
TKT00111,service help problem quotation upgrade feature,4,Account,Medium
TKT00112,issue platform problem support quotation plan payment,30,Sales,Medium
TKT00113,help issue system customer suggestion feature api,49,Feedback,Medium
TKT00114,request issue service customer platform profile authentication refund,56,Account,Medium
TKT00115,service issue problem login access payment,44,Account,Medium
TKT00116,issue service team access password charge,1,Account,Medium
TKT00117,issue team service invoice payment demo,49,Billing,Medium
TKT00118,support service issue help system crash api payment,44,Tech,High
TKT00119,issue problem support platform plan pricing api,13,Sales,Medium
TKT00120,service team issue request profile authentication experience,59,Account,Medium
TKT00121,issue team support request charge invoice quotation,57,Billing,Medium
TKT00122,team system support server crash login,4,Tech,High
TKT00123,customer request problem help review feature api,12,Feedback,Medium
TKT00124,support customer problem system service charge invoice password,35,Billing,Medium
TKT00125,problem request platform issue upgrade plan crash,40,Sales,High
TKT00126,system platform service improvement feature charge,23,Feedback,Low
TKT00127,request system platform pricing plan access,46,Sales,Medium
TKT00128,service issue system platform help quotation plan login,24,Sales,Medium
TKT00129,issue platform help team charge invoice demo,46,Billing,Medium
TKT00130,problem service issue platform login access improvement,32,Account,Medium
TKT00131,customer team issue charge subscription feature,27,Billing,Medium
TKT00132,request team system issue support api bug login,56,Tech,Medium
TKT00133,request help problem support platform authentication profile server,31,Account,Medium
TKT00134,system help platform request customer access profile quotation,3,Account,Low
TKT00135,problem service request customer help quotation pricing password,44,Sales,Medium
TKT00136,issue help service system platform crash api login,20,Tech,High
TKT00137,customer system request support invoice payment password,18,Billing,Low
TKT00138,system help platform request issue authentication access invoice,60,Account,Medium
TKT00139,system request platform charge refund error,48,Billing,Medium
TKT00140,customer service issue help request plan quotation experience,15,Sales,Medium
TKT00141,problem customer issue error api profile,36,Tech,Medium
TKT00142,issue service platform api crash pricing,32,Tech,High
TKT00143,problem platform support server bug demo,11,Tech,Medium
TKT00144,help problem team authentication password feature,46,Account,Medium
TKT00145,request service issue help refund payment api,21,Billing,Medium
TKT00146,system request customer problem service server bug feature,2,Tech,Medium
TKT00147,support request system platform customer password authentication suggestion,60,Account,Medium
TKT00148,service support request problem refund charge login,7,Billing,Medium
TKT00149,help service platform charge invoice server,54,Billing,Medium
TKT00150,system customer service problem server crash experience,27,Tech,High
TKT00151,platform problem service help refund invoice password,5,Billing,Medium
TKT00152,problem platform help issue profile authentication invoice,16,Account,Medium
TKT00153,request problem issue password profile server,16,Account,Medium
TKT00154,customer issue service review experience payment,20,Feedback,Medium
TKT00155,issue customer platform login authentication quotation,50,Account,Medium
TKT00156,team help issue service pricing demo refund,1,Sales,Medium
TKT00157,issue platform help support problem profile login demo,18,Account,Medium
TKT00158,request team service support crash server access,54,Tech,High
TKT00159,service help support team system error api profile,51,Tech,Medium
TKT00160,issue customer problem review experience invoice,36,Feedback,Medium
TKT00161,customer platform service improvement feature demo,19,Feedback,Low
TKT00162,support request customer help subscription charge server,57,Billing,Medium
TKT00163,issue customer platform request service access authentication subscription,43,Account,Medium
TKT00164,help system issue access login charge,20,Account,Medium
TKT00165,customer service platform review improvement profile,51,Feedback,Medium
TKT00166,platform support customer feature review refund,13,Feedback,Low
TKT00167,service platform help customer team login authentication review,7,Account,Low
TKT00168,platform service support password profile suggestion,28,Billing,Medium
TKT00169,request team issue service system bug error invoice,52,Tech,Medium
TKT00170,service help platform suggestion feature pricing,18,Feedback,Low
TKT00171,problem issue request team crash server login,45,Tech,High
TKT00172,service system request issue help access password demo,12,Account,Medium
TKT00173,team system problem server bug experience,16,Tech,Medium
TKT00174,request team system help customer error bug payment,31,Tech,Medium
TKT00175,platform problem support crash server access,29,Tech,High
TKT00176,problem customer system service help payment subscription suggestion,26,Billing,Medium
TKT00177,request service support feature suggestion payment,53,Feedback,Medium
TKT00178,system problem help customer payment subscription access,11,Billing,Medium
TKT00179,problem request issue service api error subscription,28,Account,Medium
TKT00180,platform problem customer team system suggestion review charge,22,Feedback,Medium
TKT00181,request service platform invoice refund profile,49,Billing,Medium
TKT00182,problem customer issue plan quotation review,52,Sales,Medium
TKT00183,help support request experience review password,53,Feedback,Medium
TKT00184,service platform problem customer issue suggestion experience charge,41,Account,Medium
TKT00185,support service problem help team profile access pricing,33,Account,Medium
TKT00186,team support issue bug server feature,50,Tech,Medium
TKT00187,customer issue problem team bug crash quotation,31,Tech,High
TKT00188,team help issue feature suggestion access,30,Feedback,Medium
TKT00189,platform request issue support help upgrade pricing login,5,Sales,Medium
TKT00190,team service help charge payment profile,38,Billing,Medium
TKT00191,system customer platform issue help refund subscription suggestion,27,Billing,Medium
TKT00192,system platform help login authentication charge,21,Account,Low
TKT00193,platform help system issue team suggestion improvement invoice,47,Feedback,Medium
TKT00194,request team platform login authentication feature,48,Account,Medium
TKT00195,help system support plan upgrade subscription,50,Sales,Medium
TKT00196,request help support suggestion experience crash,24,Feedback,High
TKT00197,team issue service system platform charge subscription upgrade,12,Billing,Medium
TKT00198,service problem request support upgrade quotation invoice,20,Sales,Medium
TKT00199,customer problem platform help payment subscription profile,15,Billing,Medium
TKT00200,problem platform support service issue plan demo login,12,Sales,Medium
TKT00201,system issue team problem request pricing demo review,56,Sales,Medium
TKT00202,issue platform request support service demo plan review,25,Sales,Medium
TKT00203,problem support issue platform customer pricing plan password,58,Sales,Medium
TKT00204,support request customer platform issue error bug access,59,Tech,Medium
TKT00205,problem system service team invoice payment authentication,13,Billing,Medium
TKT00206,platform team customer system problem demo quotation suggestion,59,Sales,Medium
TKT00207,platform system request service crash api review,33,Tech,High
TKT00208,issue platform support system subscription charge plan,6,Billing,Medium
TKT00209,issue help system request customer refund subscription password,38,Billing,Medium
TKT00210,team request system help authentication password error,60,Account,Medium
TKT00211,issue team help service customer pricing demo authentication,37,Sales,Medium
TKT00212,service request problem login profile payment,11,Account,Medium
TKT00213,customer support request feature improvement server,37,Feedback,Medium
TKT00214,request team issue service suggestion experience subscription,8,Feedback,Medium
TKT00215,request customer team api bug login,32,Tech,Medium
TKT00216,platform service team invoice subscription suggestion,41,Billing,Medium
TKT00217,system support platform login profile server,30,Account,Medium
TKT00218,problem customer platform crash server feature,4,Tech,High
TKT00219,issue service help plan pricing feature,22,Sales,Medium
TKT00220,team problem help platform upgrade pricing charge,22,Sales,Medium
TKT00221,help support platform system experience suggestion api,46,Feedback,Medium
TKT00222,team system support help problem profile authentication refund,37,Account,Medium
TKT00223,problem team support service system pricing upgrade subscription,22,Sales,Medium
TKT00224,system support problem password profile review,2,Account,Medium
TKT00225,problem issue customer system help feature improvement plan,4,Feedback,Medium
TKT00226,request help system refund subscription feature,29,Billing,Medium
TKT00227,help support request experience feature access,33,Feedback,Medium
TKT00228,problem service support team bug api payment,22,Tech,Medium
TKT00229,request issue customer refund subscription password,28,Billing,Medium
TKT00230,issue platform team service system api error feature,52,Tech,Medium
TKT00231,request issue platform system quotation plan server,23,Sales,Medium
TKT00232,system support problem crash bug login,33,Tech,High
TKT00233,issue team platform help upgrade quotation experience,50,Sales,Medium
TKT00234,system problem help server crash refund,10,Tech,High
TKT00235,help service platform customer payment invoice server,35,Billing,Medium
TKT00236,team help system support customer invoice subscription crash,45,Billing,High
TKT00237,platform service help experience improvement subscription,54,Feedback,Medium
TKT00238,problem system support platform review feature invoice,55,Feedback,Medium
TKT00239,customer support team profile login bug,11,Account,Low
TKT00240,problem help support bug api experience,38,Tech,Medium
TKT00241,platform help team system review improvement upgrade,40,Feedback,Medium
TKT00242,system help request team problem upgrade quotation authentication,55,Sales,Medium
TKT00243,system team support issue request pricing plan bug,41,Sales,Medium
TKT00244,request team problem platform support feature experience refund,27,Feedback,Medium
TKT00245,help request platform team api server payment,30,Tech,Medium
TKT00246,issue system help error server pricing,17,Tech,Medium
TKT00247,issue team problem help platform api crash plan,45,Feedback,High
TKT00248,help support team system platform payment charge suggestion,10,Billing,Low
TKT00249,service issue platform help customer access profile error,60,Account,Medium
TKT00250,issue help platform problem pricing upgrade access,34,Sales,Medium
TKT00251,support help platform service pricing demo invoice,1,Billing,Low
TKT00252,help team problem issue service refund charge suggestion,55,Billing,Medium
TKT00253,support system team payment charge server,57,Billing,Medium
TKT00254,customer team help platform system api crash charge,50,Feedback,High
TKT00255,problem system platform api crash improvement,54,Tech,High
TKT00256,system help service support customer quotation pricing suggestion,31,Sales,Medium
TKT00257,team customer platform request service plan quotation payment,23,Sales,Low
TKT00258,customer problem team experience feature bug,17,Feedback,Medium
TKT00259,help system issue platform request server error demo,34,Tech,Medium
TKT00260,support request system help invoice payment access,56,Billing,Medium
TKT00261,team request system customer help crash api profile,51,Tech,High
TKT00262,service system problem server bug login,21,Tech,Medium
TKT00263,customer system help support team review experience plan,50,Feedback,Medium
TKT00264,problem support service password authentication pricing,49,Account,Medium
TKT00265,support request service customer plan quotation payment,42,Sales,Medium
TKT00266,service support issue feature improvement profile,1,Feedback,Medium
TKT00267,platform service support help customer bug api demo,8,Tech,Low
TKT00268,request system team authentication access refund,2,Account,Low
TKT00269,team system problem quotation pricing error,57,Sales,Medium
TKT00270,help service team customer subscription payment demo,2,Billing,Low
TKT00271,problem customer service team plan demo authentication,28,Sales,Medium
TKT00272,system support platform request error crash access,59,Tech,High
TKT00273,system problem issue subscription refund experience,7,Billing,Medium
TKT00274,service request support system pricing plan crash,58,Sales,High
TKT00275,support problem issue experience suggestion server,11,Sales,Medium
TKT00276,system request service password login upgrade,19,Account,Low
TKT00277,customer problem system subscription refund plan,4,Billing,Medium
TKT00278,platform issue service improvement review profile,4,Feedback,Medium
TKT00279,support service customer suggestion improvement subscription,2,Feedback,Low
TKT00280,request service platform team issue plan pricing payment,23,Sales,Medium
TKT00281,customer problem issue suggestion review login,6,Feedback,Medium
TKT00282,issue problem service request customer charge payment server,53,Billing,Medium
TKT00283,system help platform issue support quotation demo review,56,Sales,Medium
TKT00284,request service problem support system server error plan,36,Tech,Medium
TKT00285,platform service request team feature improvement server,43,Feedback,Medium
TKT00286,team platform support issue problem experience suggestion upgrade,4,Feedback,Medium
TKT00287,platform support team problem profile login charge,2,Account,Medium
