ticket_id,department,priority
TKT00000,Product Feedback,Low
TKT00001,Product Feedback,Medium
TKT00002,Sales,Medium
TKT00003,Technical Support,Low
TKT00004,Technical Support,Low
TKT00005,Billing,Low
TKT00006,Product Feedback,Low
TKT00007,Sales,Low
TKT00008,Technical Support,High
TKT00009,Sales,Medium
TKT00010,Product Feedback,High
TKT00011,Product Feedback,Low
TKT00012,Account Management,Medium
TKT00013,Sales,Medium
TKT00014,Sales,Medium
TKT00015,Billing,Medium
TKT00016,Sales,High
TKT00017,Billing,Medium
TKT00018,Billing,Low
TKT00019,Product Feedback,Medium
TKT00020,Technical Support,Low
TKT00021,Product Feedback,Medium
TKT00022,Billing,Medium
TKT00023,Technical Support,Low
TKT00024,Billing,Medium
TKT00025,Account Management,Medium
TKT00026,Sales,Low
TKT00027,Product Feedback,Medium
TKT00028,Sales,Low
TKT00029,Billing,Low
TKT00030,Product Feedback,Low
TKT00031,Technical Support,Medium
TKT00032,Product Feedback,Low
TKT00033,Technical Support,Medium
TKT00034,Billing,Medium
TKT00035,Sales,Medium
TKT00036,Product Feedback,High
TKT00037,Sales,Medium
TKT00038,Account Management,Medium
TKT00039,Product Feedback,Low
TKT00040,Product Feedback,Medium
TKT00041,Product Feedback,Medium
TKT00042,Account Management,High
TKT00043,Billing,Medium
TKT00044,Account Management,Low
TKT00045,Billing,Medium
TKT00046,Product Feedback,Low
TKT00047,Product Feedback,Medium
TKT00048,Sales,High
TKT00049,Billing,Medium
TKT00050,Technical Support,Low
TKT00051,Account Management,Medium
TKT00052,Technical Support,High
TKT00053,Technical Support,Low
TKT00054,Account Management,Low
TKT00055,Sales,Low
TKT00056,Product Feedback,Low
TKT00057,Sales,High
TKT00058,Sales,Low
TKT00059,Account Management,Medium
TKT00060,Account Management,High
TKT00061,Sales,Low
TKT00062,Sales,Low
TKT00063,Account Management,Low
TKT00064,Technical Support,Medium
TKT00065,Billing,Low
TKT00066,Billing,Low
TKT00067,Account Management,High
TKT00068,Sales,Medium
TKT00069,Billing,High
TKT00070,Product Feedback,High
TKT00071,Product Feedback,High
TKT00072,Sales,Low
TKT00073,Technical Support,High
TKT00074,Technical Support,Low
TKT00075,Account Management,Medium
TKT00076,Sales,Medium
TKT00077,Product Feedback,Low
TKT00078,Product Feedback,Low
TKT00079,Product Feedback,Medium
TKT00080,Sales,Low
TKT00081,Technical Support,Medium
TKT00082,Account Management,Medium
TKT00083,Product Feedback,Medium
TKT00084,Product Feedback,Medium
TKT00085,Account Management,Low
TKT00086,Technical Support,Medium
TKT00087,Sales,Low
TKT00088,Billing,Medium
TKT00089,Product Feedback,Low
TKT00090,Product Feedback,Medium
TKT00091,Technical Support,Low
TKT00092,Billing,Low
TKT00093,Product Feedback,High
TKT00094,Billing,High
TKT00095,Sales,Medium
TKT00096,Sales,Medium
TKT00097,Product Feedback,Medium
TKT00098,Billing,Medium
TKT00099,Technical Support,Medium
TKT00100,Sales,High
TKT00101,Product Feedback,Low
TKT00102,Account Management,Low
TKT00103,Billing,Low
TKT00104,Account Management,Medium
TKT00105,Technical Support,Medium
TKT00106,Product Feedback,Low
TKT00107,Account Management,Low
TKT00108,Billing,Medium
TKT00109,Product Feedback,Low
TKT00110,Technical Support,Medium
TKT00111,Billing,Low
TKT00112,Account Management,Low
TKT00113,Billing,Low
TKT00114,Product Feedback,Medium
TKT00115,Account Management,High
TKT00116,Sales,Low
TKT00117,Billing,Medium
TKT00118,Billing,High
TKT00119,Billing,Low
TKT00120,Product Feedback,Low
TKT00121,Sales,High
TKT00122,Billing,Medium
TKT00123,Product Feedback,Medium
TKT00124,Technical Support,High
TKT00125,Sales,High
TKT00126,Sales,Medium
TKT00127,Sales,Low
TKT00128,Account Management,Medium
TKT00129,Technical Support,Low
TKT00130,Product Feedback,Medium
TKT00131,Technical Support,High
TKT00132,Account Management,Low
TKT00133,Product Feedback,Medium
TKT00134,Account Management,High
TKT00135,Account Management,Low
TKT00136,Technical Support,Medium
TKT00137,Sales,Medium
TKT00138,Technical Support,Medium
TKT00139,Sales,Low
TKT00140,Billing,Low
TKT00141,Billing,Low
TKT00142,Technical Support,Medium
TKT00143,Product Feedback,Medium
TKT00144,Account Management,Low
TKT00145,Sales,Medium
TKT00146,Sales,Medium
TKT00147,Account Management,Low
TKT00148,Sales,Low
TKT00149,Account Management,Low
TKT00150,Account Management,High
TKT00151,Billing,Low
TKT00152,Product Feedback,Medium
TKT00153,Account Management,Medium
TKT00154,Product Feedback,High
TKT00155,Billing,Low
TKT00156,Product Feedback,High
TKT00157,Billing,Low
TKT00158,Product Feedback,Low
TKT00159,Billing,Medium
TKT00160,Technical Support,Low
TKT00161,Billing,Low
TKT00162,Technical Support,Low
TKT00163,Technical Support,Low
TKT00164,Account Management,Low
TKT00165,Technical Support,High
TKT00166,Billing,Low
TKT00167,Account Management,Medium
TKT00168,Sales,Medium
TKT00169,Technical Support,Low
TKT00170,Account Management,Medium
TKT00171,Product Feedback,High
TKT00172,Account Management,Medium
TKT00173,Sales,Low
TKT00174,Billing,Low
TKT00175,Technical Support,High
TKT00176,Sales,Medium
TKT00177,Account Management,High
