ticket_id,ticket_text,customer_tenure_months,previous_tickets_count
TKT00000,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,20,2
TKT00001,I have suggestions to improve the usability of the product.,37,1
TKT00002,I would like more information about pricing and subscription plans.,18,2
TKT00003,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,8,1
TKT00004,The application crashes frequently and shows unexpected errors.,23,1
TKT00005,I was charged incorrectly and need clarification on my invoice.,17,2
TKT00006,I have suggestions to improve the usability of the product.,46,0
TKT00007,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,46,3
TKT00008,The application crashes frequently and shows unexpected errors.,12,0
TKT00009,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,4,2
TKT00010,I have suggestions to improve the usability of the product.,53,2
TKT00011,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,21,1
TKT00012,I need assistance updating my account details and password.,56,3
TKT00013,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,10,0
TKT00014,I would like more information about pricing and subscription plans.,51,0
TKT00015,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,22,2
TKT00016,I would like more information about pricing and subscription plans.,59,3
TKT00017,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,36,1
TKT00018,I was charged incorrectly and need clarification on my invoice.,28,2
TKT00019,I have suggestions to improve the usability of the product.,44,3
TKT00020,The application crashes frequently and shows unexpected errors.,9,3
TKT00021,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,6,3
TKT00022,I was charged incorrectly and need clarification on my invoice.,8,2
TKT00023,The application crashes frequently and shows unexpected errors.,14,3
TKT00024,I was charged incorrectly and need clarification on my invoice.,38,4
TKT00025,I need assistance updating my account details and password.,12,2
TKT00026,I would like more information about pricing and subscription plans.,52,0
TKT00027,I have suggestions to improve the usability of the product.,37,1
TKT00028,I would like more information about pricing and subscription plans.,31,3
TKT00029,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,23,1
TKT00030,I have suggestions to improve the usability of the product.,3,1
TKT00031,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,37,2
TKT00032,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,58,2
TKT00033,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,17,2
TKT00034,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,5,2
TKT00035,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,46,5
TKT00036,I have suggestions to improve the usability of the product.,28,2
TKT00037,I would like more information about pricing and subscription plans.,33,1
TKT00038,I need assistance updating my account details and password.,57,0
TKT00039,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,13,1
TKT00040,I have suggestions to improve the usability of the product.,57,3
TKT00041,I have suggestions to improve the usability of the product.,54,1
TKT00042,I need assistance updating my account details and password.,3,3
TKT00043,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,42,1
TKT00044,I need assistance updating my account details and password.,17,1
TKT00045,I was charged incorrectly and need clarification on my invoice.,16,1
TKT00046,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,11,1
TKT00047,I have suggestions to improve the usability of the product.,43,1
TKT00048,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,22,1
TKT00049,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,49,0
TKT00050,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,40,1
TKT00051,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,27,2
TKT00052,The application crashes frequently and shows unexpected errors.,59,4
TKT00053,The application crashes frequently and shows unexpected errors.,57,5
TKT00054,I need assistance updating my account details and password.,25,2
TKT00055,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,53,4
TKT00056,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,58,0
TKT00057,I would like more information about pricing and subscription plans.,31,1
TKT00058,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,35,1
TKT00059,I need assistance updating my account details and password.,39,2
TKT00060,I need assistance updating my account details and password.,25,2
TKT00061,I would like more information about pricing and subscription plans.,54,1
TKT00062,I would like more information about pricing and subscription plans.,11,1
TKT00063,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,49,1
TKT00064,The application crashes frequently and shows unexpected errors.,23,0
TKT00065,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,16,2
TKT00066,I was charged incorrectly and need clarification on my invoice. The issue is urgent and needs resolution soon.,30,2
TKT00067,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,19,0
TKT00068,I would like more information about pricing and subscription plans.,34,0
TKT00069,I was charged incorrectly and need clarification on my invoice.,27,1
TKT00070,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,42,3
TKT00071,I have suggestions to improve the usability of the product.,1,4
TKT00072,I would like more information about pricing and subscription plans.,52,1
TKT00073,The application crashes frequently and shows unexpected errors.,54,4
TKT00074,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,8,4
TKT00075,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,49,1
TKT00076,I would like more information about pricing and subscription plans. The issue is urgent and needs resolution soon.,11,1
TKT00077,I have suggestions to improve the usability of the product. The issue is urgent and needs resolution soon.,58,2
TKT00078,I have suggestions to improve the usability of the product.,59,3
TKT00079,I have suggestions to improve the usability of the product.,8,2
TKT00080,I would like more information about pricing and subscription plans.,22,1
TKT00081,The application crashes frequently and shows unexpected errors. The issue is urgent and needs resolution soon.,52,1
TKT00082,I need assistance updating my account details and password. The issue is urgent and needs resolution soon.,48,4
TKT00083,I have suggestions to improve the usability of the product.,5,3
TKT00084,I have suggestions to improve the usability of the product.,51,2
